"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Max Strus","Cle","F","27.8","45","33.1","17.5","12.6","60","0.817","170","0.535","335","0.334","0.513","0.533","12.6","5","3.7","0.9","0.5","1.6","17.6","16.3","21.3","7.4","109.4","106.9"
"","Cole Anthony","Orl","G","23.7","47","23.8","23.7","15.2","165","0.842","299","0.488","164","0.323","0.487","0.551","12.6","4.1","3.3","0.8","0.4","1.8","16.6","15.9","19.9","9.3","111.1","104.2"
"","Alec Burks","Det","G","32.5","40","20.8","23.4","7.4","124","0.895","147","0.381","230","0.4","0.515","0.578","12.5","2.5","1.6","0.5","0.3","0.8","14.9","14.1","16.5","7.1","118.7","118.3"
"","Andrew Wiggins","Gol","F","28.9","40","27.2","20.8","11.5","111","0.712","304","0.497","128","0.313","0.488","0.521","12.5","4.2","1.6","0.4","0.5","1.4","16.8","14.2","18.4","6.4","107","114.3"
"","Ivica Zubac","Lac","C","26.9","38","27.1","16.7","12.3","105","0.648","307","0.655","0","0","0.655","0.665","12.4","9.7","1.3","0.2","1.4","1.1","22.1","13.6","23.4","8","132.4","104.4"
"","Nic Claxton","Bro","C","24.8","37","29.7","15.7","12.1","99","0.556","315","0.635","3","0.333","0.634","0.633","12.4","10.4","1.9","0.7","2.1","1.2","22.7","14.3","24.6","8.4","126.3","108.4"
"","Naz Reid","Min","C-F","24.4","48","22.4","22.5","11.6","71","0.761","230","0.557","228","0.417","0.591","0.608","12.4","4.6","1.1","0.7","0.7","1.3","17","13.5","18.1","7.1","112.7","102.3"
"","Deni Avdija","Was","F","23.1","47","27.4","18.8","16.1","137","0.759","311","0.547","121","0.38","0.553","0.591","12.4","6.1","3.9","0.9","0.4","1.8","18.5","16.3","22.4","9.7","114.6","113.6"
"","Aaron Nesmith","Ind","G-F","24.3","43","26.6","16","9","70","0.7","173","0.59","201","0.463","0.646","0.657","12.4","3.9","1.4","1","0.7","0.9","16.3","13.8","17.7","6.1","125.7","111.9"
"","Tyus Jones","Was","G","27.7","47","28.6","17","7.8","31","0.742","311","0.547","176","0.403","0.568","0.575","12.3","2.9","6.3","1.2","0.3","0.9","15.1","18.6","21.5","8.5","124.5","123.1"
"","Bobby Portis","Mil","F","29","48","23.3","21","8.3","80","0.775","336","0.551","140","0.379","0.556","0.578","12.3","6.8","1","0.6","0.4","0.9","19.1","13.3","20.1","7.5","115.9","106.8"
"","Buddy Hield","Ind","G","31.1","48","25.9","18.7","11.2","33","0.848","150","0.567","335","0.388","0.577","0.589","12.3","3.3","2.7","0.8","0.6","1.3","15.5","14.9","18.2","7.4","114.5","117.5"
"","Jalen Suggs","Orl","G","22.7","44","26.4","20.5","16.3","88","0.773","205","0.522","227","0.383","0.55","0.577","12.3","3.2","2.4","1.4","0.6","1.9","15.5","14.8","18","6.9","107.4","103.8"
"","Scoot Henderson","Por","G","20","39","26.3","25.8","20.5","119","0.79","305","0.407","149","0.309","0.425","0.474","12.3","2.9","4.6","0.6","0.3","3","15.2","16.9","19.7","8.3","94.5","111.1"
"","Danilo Gallinari","Det","F","35.5","3","16.1","16.3","0","13","0.846","7","0.571","6","1","1","0.988","12.3","2.3","2.3","0.3","0","0","14.7","14.7","17","10","203.5","118.5"
"","Zach Collins","San","C","26.2","36","25.4","21.6","18.6","91","0.769","225","0.582","124","0.29","0.53","0.565","12.2","5.7","3.2","0.6","0.7","2.2","17.9","15.4","21.1","9.5","107.3","109.2"
"","Donte DiVincenzo","Nyk","G","27","48","23","20","10.5","60","0.733","123","0.545","319","0.426","0.613","0.626","12.2","3.2","2.3","1.1","0.3","1.1","15.4","14.5","17.7","7.8","124.8","106.3"
"","Bruce Brown","Ind","G","27.5","33","29.7","16.5","11.5","82","0.817","213","0.545","101","0.327","0.527","0.568","12.1","4.7","3","1.1","0.2","1.2","16.7","15.1","19.8","7.5","115.7","115.8"
"","Lonnie Walker IV","Bro","G-F","25.1","29","18.9","24.9","11","42","0.762","122","0.516","146","0.438","0.593","0.611","12.1","2.2","1.6","0.8","0.3","1.1","14.2","13.7","15.8","7.4","114.4","114.2"
"","Gary Trent Jr.","Tor","G-F","25","42","26.1","18.6","6.1","43","0.651","188","0.441","243","0.424","0.551","0.559","12","2.1","1.5","0.8","0.1","0.7","14.1","13.5","15.7","5.1","110.8","117.2"
"","Keon Johnson","Bro","G","21.9","1","20.9","21.9","10.6","4","1","4","0.25","4","0.5","0.5","0.615","12","1","1","1","1","1","13","13","14","4.4","121.1","117.3"
"","Harrison Barnes","Sac","F","31.7","46","29.8","14.7","7.7","106","0.821","175","0.571","218","0.394","0.583","0.62","11.8","3","1.3","0.7","0.2","0.7","14.8","13.2","16.1","4.8","123.8","117.9"
"","Jusuf Nurkic","Pho","C","29.4","45","27.4","19.8","19.1","148","0.709","323","0.563","79","0.266","0.531","0.569","11.8","10.3","3.6","1","1","2.1","22.1","15.4","25.7","11.1","115.3","101.5"
"","De'Anthony Melton","Phi","G","25.7","33","29.1","17.7","10.4","75","0.827","135","0.437","193","0.363","0.5","0.54","11.8","4","3.2","1.6","0.5","1.2","15.8","15","19","7.3","114.2","108.3"
"","Jeremy Sochan","San","G","20.7","48","29.5","18.6","16.1","96","0.792","355","0.47","134","0.373","0.495","0.527","11.7","5.9","3.8","0.7","0.5","2","17.6","15.5","21.4","8.7","106","114.5"
"","Moritz Wagner","Orl","F-C","26.8","46","19","22.3","13.1","131","0.786","269","0.654","76","0.329","0.619","0.658","11.5","4.6","1.3","0.5","0.3","1.1","16.2","12.8","17.4","8.6","125.5","102.8"
"","Josh Giddey","Okc","G","21.3","47","24.8","23","16.5","69","0.812","361","0.493","130","0.331","0.494","0.519","11.5","6.3","4.6","0.7","0.5","2.1","17.8","16.1","22.4","11.2","107.5","110.3"
"","Bruce Brown","Tor","G-F","27.5","6","29","16.8","13.8","8","1","42","0.548","14","0.357","0.545","0.58","11.5","6.3","1.7","1.2","0.8","1.5","17.8","13.2","19.5","6.9","110.9","107.5"
"","Clint Capela","Atl","C","29.7","45","25.8","16.5","9.4","127","0.654","374","0.572","0","0","0.572","0.594","11.4","10.4","1","0.6","1.6","0.9","21.8","12.3","22.8","7.6","128.8","112"
"","Rui Hachimura","Lal","F","26","35","22.8","19.3","8","77","0.753","198","0.556","102","0.392","0.567","0.596","11.4","3.5","1.1","0.8","0.2","0.7","14.9","12.4","15.9","6.2","115.5","112.8"
"","Russell Westbrook","Lac","G","35.2","46","23","24.5","17.9","110","0.673","344","0.517","105","0.286","0.497","0.523","11.3","5.7","4.7","1.1","0.4","2.1","17","16","21.7","11.7","109.7","107.1"
"","Obi Toppin","Ind","F","25.9","48","23.2","16.4","9.5","69","0.768","218","0.706","154","0.39","0.656","0.672","11.3","4","1.6","0.5","0.5","0.8","15.3","12.8","16.9","7.2","129.9","116.2"
"","Corey Kispert","Was","F","24.9","46","21.7","19.8","11.1","82","0.768","145","0.669","239","0.364","0.592","0.617","11.3","2.2","1.5","0.3","0.2","1","13.5","12.7","14.9","6.2","113.3","120"
